ID,AÑO,EDAD,SEXO,NACIONALIDAD,ESTADO CIVIL,DEPTO_HECHO,MUNIC_HECHO,BARRIO_HECHO,DIR_HECHO,ZONA_HECHO,CONDICION VICTIMA,TIPOVEHICULO,SERVICIO,CLASE ACCIDENTE,Dir_Concatenada,localizacion,punto,lat,long,alt
7158,2010,19.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,EL PRADO,AUTOP SURORIENTAL CON 20,URBANA,PASAJERO,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"AUTOP SURORIENTAL CON 20, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
6922,2010,49.0,MASCULINO,COLOMBIA ,CASADO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SAN JUDAS TADEO II,AUTOP. SIMON BOLIVAR  CON CRA  51,URBANA,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHICULO,"AUTOP. SIMON BOLIVAR  CON CRA  51, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
9168,2011,30.0,MASCULINO,COLOMBIA ,,VALLE DEL CAUCA,SANTIAGO DE CALI,OLIMPICO,AUTOPIASTA SUR ORIENTAL CON 34,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"AUTOPIASTA SUR ORIENTAL CON 34, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
2770,2008,18.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,EL PRADO,AUTOPIISTA SUR ORIENTAL,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"AUTOPIISTA SUR ORIENTAL, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
13094,2013,20.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,LA FORTALEZA,AUTOPIOSTA SUR ORIENTAL  CRA 26,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"AUTOPIOSTA SUR ORIENTAL  CRA 26, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
900,2007,68.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SANTAFE,AUTOPISTA,URBANA,PEATON,SI,SI,ATROPELLO,"AUTOPISTA, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
1194,2007,52.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,JUNIN,AUTOPISTA,URBANA,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"AUTOPISTA, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
2538,2008,53.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SAN PEDRO,AUTOPISTA,URBANA,PEATON,,,ATROPELLO,"AUTOPISTA, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
7728,2010,28.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,EL PRADO,AUTOPISTA,URBANA,PEATON,SIN DATO,NO APLICA,ATROPELLO,"AUTOPISTA, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
13774,2013,14.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SIN INFORMACION,AUTOPISTA,URBANA,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE ,"AUTOPISTA, Cali, Valle del Cauca","Calle 70, Alfonso López I, Comuna 7, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760006, Colombia","(3.4645726, -76.4838255, 0.0)",3.4645726,-76.4838255,0.0
14544,2014,47.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,SIN DATO,AUTOPISTA   CON 34,URBANA,CONDUCTOR,MOTOCICLETA,PARTICULAR,CHOQUE ,"AUTOPISTA   CON 34, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
6233,2010,51.0,MASCULINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,ANTONIO NARIÑO,AUTOPISTA   SIMON BOLIVAR  CON CRA 39,URBANA,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"AUTOPISTA   SIMON BOLIVAR  CON CRA 39, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
12981,2013,41.0,FEMENINO,COLOMBIA ,SOLTERO (A),VALLE DEL CAUCA,SANTIAGO DE CALI,SIETE DE AGOSTO,AUTOPISTA  CIUDAD DE  CALI CON   DIAGONAL 14,URBANA,PEATÓN,NO APLICA,NO APLICA,ATROPELLO,"AUTOPISTA  CIUDAD DE  CALI CON   DIAGONAL 14, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
8648,2011,38.0,MASCULINO,COLOMBIA ,,VALLE DEL CAUCA,SANTIAGO DE CALI,CALIMA,AUTOPISTA  LA 70,URBANA,PEATÓN,SIN INFORMACIÓN,SIN INFORMACIÓN,ATROPELLO,"AUTOPISTA  LA 70, Cali, Valle del Cauca","Carrera 23 Autopista Sur, La Nueva Base, Comuna 8, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760020, Colombia","(3.4435379, -76.492405, 0.0)",3.4435379,-76.492405,0.0
13170,2013,61.0,MASCULINO,COLOMBIA ,UNION LIBRE,VALLE DEL CAUCA,SANTIAGO DE CALI,UNION DE VIVIENDA POPULAR,AUTOPISTA  SIMON  BOLIVAR  CON   CALLE  42,URBANA,PEATÓN,NO APLICA,NO APLICA,ATROPELLO,"AUTOPISTA  SIMON  BOLIVAR  CON   CALLE  42, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
