ID,AÑO,MES,DIA MES,DIA SEMANA,EDAD,SEXO,ESTADO CIVIL,CIUDAD,PAIS,HORA,MUNICIPIOH,DEPARTAMENTOHECHO,BARRIOHECHO,DIRECCION ,ÁREA HECHO,CONDICION VICTIMA,VEHICULO1,SERVICIO,CLASE ACCIDENTE,Dir_Concatenada,localizacion,punto,lat,long,alt
1378,2013,5,25,7,66,M,SOLTERO (A),CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN INFORMACIÓN,CALLE 15 CON CARRERA 8,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"CALLE 15 CON CARRERA 8, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1642,2009,11,14,7,20,F,SOLTERO (A),CALI,COLOMBIA,1.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SIN DATO,CALLE 15 CON CRA 12,Urbano,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 15 CON CRA 12, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1717,2011,5,15,1,25,F,SOLTERO (A),CALI,COLOMBIA,11.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 15 CON CRA 6,Urbano,PASAJERO,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 15 CON CRA 6, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1718,2011,5,15,1,31,M,SOLTERO (A),CALI,COLOMBIA,11.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 15 CON CRA 6,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 15 CON CRA 6, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
681,2009,2,9,2,50,M,SIN INFORMACION,CALI,COLOMBIA,12.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SAN JUDAS,CALLE 15 CON KRA 48,Urbano,PEATON,NO APLICA,SIN INFORMACION,ATROPELLO,"CALLE 15 CON KRA 48, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
831,2009,11,5,5,79,F,CASADO (A),CALI,COLOMBIA,20.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 15 CRA 18,Urbano,PEATON,NO APLICA,SIN INFORMACION,ATROPELLO,"CALLE 15 CRA 18, Cali, Valle del Cauca","Calle 15, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760032, Colombia","(3.3565404, -76.5420608, 0.0)",3.3565404,-76.5420608,0.0
1259,2011,10,1,7,27,M,SIN INFORMACION,CALI,COLOMBIA,21.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 15 CRA 36 FRENTE A GEISHA,Urbano,CONDUCTOR,NS/NR - SIN INFORMACIÓN,SIN INFORMACIÓN,NS/NR - SIN INFORMACIÓN,"CALLE 15 CRA 36 FRENTE A GEISHA, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1149,2011,4,14,5,57,M,CASADO (A),CALI,COLOMBIA,9.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 15 FRENTE A CENCAR,Urbano,CONDUCTOR,BICICLETA,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 15 FRENTE A CENCAR, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1526,2013,12,7,7,22,M,UNION LIBRE,CALI,COLOMBIA,20.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 15 FRENTE A CENCAR,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 15 FRENTE A CENCAR, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
950,2010,5,21,6,83,M,UNION LIBRE,CALI,COLOMBIA,10.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 15 NRO 18A-34,Urbano,PEATON,NO APLICA,SIN INFORMACION,ATROPELLO,"CALLE 15 NRO 18A-34, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
577,2008,9,3,4,-35,F,SIN INFORMACION,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,GUAYAQUIL,CALLE 15 NRO 21-38,Urbano,PEATON,,,ATROPELLO,"CALLE 15 NRO 21-38, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
812,2009,9,14,2,38,M,SOLTERO (A),CALI,COLOMBIA,7.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CRISTOBAL COLON,CALLE 15 NRO 38-01,Urbano,PEATON,NO APLICA,SIN INFORMACION,ATROPELLO,"CALLE 15 NRO 38-01, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1747,2012,4,29,1,23,M,UNION LIBRE,CALI,COLOMBIA,1.0,SANTIAGO DE CALI,VALLE DEL CAUCA,NACIONAL,CALLE 15N NRO 4N-60,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"CALLE 15N NRO 4N-60, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1383,2013,6,11,3,72,F,VIUDO (A),CALI,COLOMBIA,18.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 16  21A-31,Urbano,PEATÓN,NO APLICA,SIN INFORMACIÓN,ATROPELLO,"CALLE 16  21A-31, Cali, Valle del Cauca","Calle 16, Comuna 17, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 760026, Colombia","(3.3685878, -76.5295399, 0.0)",3.3685878,-76.5295399,0.0
1037,2010,10,13,4,17,M,SOLTERO (A),CALI,COLOMBIA,22.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SD,CALLE 16 CARRERA 15 Y 116,Urbano,PASAJERO,AUTOMOVIL,PARTICULAR,CHOQUE CON OBJETO FIJO O EN MOVIMIENTO,"CALLE 16 CARRERA 15 Y 116, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1723,2011,8,7,1,26,M,UNION LIBRE,CALI,COLOMBIA,15.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 16 CON CRA 13,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 16 CON CRA 13, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
1371,2013,5,17,6,40,M,SIN INFORMACION,CALI,COLOMBIA,4.0,SANTIAGO DE CALI,VALLE DEL CAUCA,,CALLE 16 CON CRA 80,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHÍCULO,"CALLE 16 CON CRA 80, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
510,2008,5,11,1,20,M,SIN INFORMACION,CALI,COLOMBIA,4.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 16 CON CRA 94,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 16 CON CRA 94, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
458,2008,2,5,3,32,M,SIN INFORMACION,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,ND,CALLE 16 CRA 25A,Urbano,PEATON,,,ATROPELLO,"CALLE 16 CRA 25A, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
382,2007,10,24,4,70,F,SIN INFORMACION,CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,SANTA CLARA,CALLE 17 NRO 29A-140,Urbano,PEATON,,,ATROPELLO,"CALLE 17 NRO 29A-140, Cali, Valle del Cauca",,"(3.319788, -76.5255499, 0.0)",3.319788,-76.5255499,0.0
254,2007,3,25,1,25,M,SOLTERO (A),CALI,COLOMBIA,0.0,SANTIAGO DE CALI,VALLE DEL CAUCA,CIUDAD JARDIN,CALLE 18  CARRERA 114,Urbano,CONDUCTOR,MOTO O MOTO CARRO,PARTICULAR,CHOQUE CON OTRO VEHICULO,"CALLE 18  CARRERA 114, Cali, Valle del Cauca","Parada MIO - Calle 18 entre Carrera 114 y 114B, Calle 18, Parcelaciones Pance, Comuna 22, Perímetro Urbano Santiago de Cali, Cali, Sur, Valle del Cauca, 720001, Colombia","(3.3553578, -76.5304086, 0.0)",3.3553578,-76.5304086,0.0
